Species,longitude,latitude
Ceropegia vincifolia Hook.,72.94458,19.233765
Ceropegia vincifolia Hook.,72.963166,19.239436
Ceropegia spiralis Wight,74.815372,16.214357
Ceropegia spiralis Wight,74.497674,15.849695
Ceropegia attenuata Hook.,73.013244,19.184725
Ceropegia attenuata Hook.,73.45927,16.666363
Ceropegia attenuata Hook.,73.291278,16.946596
Ceropegia oculata Hook.,73.744579,18.242068
Ceropegia candelabrum var. biflora (L.) M.Y.Ansari,77.592371,12.895078
Ceropegia hirsuta Wight & Arn.,76.805778,10.386646
Ceropegia hirsuta Wight & Arn.,76.71758,10.378588
Ceropegia bulbosa Roxb. var. bulbosa,73.821641,18.521059
Ceropegia bulbosa Roxb. var. bulbosa,73.815384,18.52549
Ceropegia hirsuta Wight & Arn.,82.393257,22.106508
Ceropegia odorata Nimmo,73.388875,19.261165
Ceropegia odorata Nimmo,73.378359,19.263262
Ceropegia bulbosa Roxb. var. lushii (Graham) Hook.f.,73.817825,18.518711
Ceropegia attenuata Hook.,73.388553,16.466627
"Ceropegia anjanerica Malpure, M.Y.Kamble & S.R.Yadav",73.57133,19.911046
Ceropegia rollae Hemadri,73.686633,19.297575
Ceropegia odorata Nimmo,73.388875,19.261165
Ceropegia bulbosa Roxb. var. lushii (Graham) Hook.f.,73.622311,19.257888
Ceropegia jainii Ansari & B.G.Kulk.,74.011668,15.932791
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.755878,18.366277
Ceropegia decaisneana Wight,75.657966,12.214813
Ceropegia elegans Wall.,76.271083,10.850516
Ceropegia intermedia Wight,76.31083,10.840516
Ceropegia wallichii Wight,79.0193,30.066753
Ceropegia candelabrum L. var. candelabrum,77.525942,12.878449
Ceropegia rollae Hemadri,73.773106,19.391816
Ceropegia panchganiensis Blatter & McCann,73.659801,18.051198
Ceropegia attenuata Hook.,73.641588,15.861986
Ceropegia attenuata Hook.,72.871792,19.232779
Ceropegia attenuata Hook.,72.913853,19.228346
Ceropegia vincifolia Hook.,72.906905,19.206086
Ceropegia attenuata Hook.,72.906712,19.206054
Ceropegia oculata Hook.,73.49989,19.152966
Ceropegia huberi Ansari,73.459242,18.475911
Ceropegia candelabrum L. var. candelabrum,77.529023,12.882808
Ceropegia media (H. Huber) M.Y.Ansari,73.752535,18.385609
Ceropegia vincifolia Hook.,73.763329,18.371761
Ceropegia bulbosa Roxb. var. lushii (Graham) Hook.f.,74.030507,18.35109
Ceropegia jainii Ansari & B.G.Kulk.,74.041585,17.492207
Ceropegia oculata Hook.,73.749067,18.369121
Ceropegia lawii Hook.f.,73.763627,19.341468
Ceropegia hirsuta Wight & Arn.,77.524998,12.878073
Ceropegia oculata Hook.,73.755876,18.366304
Ceropegia media (H. Huber) M.Y.Ansari,73.755876,18.366304
Ceropegia maccannii M.Y.Ansari,73.755876,18.366304
Ceropegia vincifolia Hook.,73.755876,18.366304
Ceropegia fantastica Sedgwick,74.007271,15.969859
Ceropegia attenuata Hook.,73.633967,15.853514
"Ceropegia anantii S.R.Yadav, Sardesai & S.P.Gaikwad",73.637996,15.857182
Ceropegia huberi Ansari,73.430544,18.446903
Ceropegia santapaui Wadhwa & Ansari,73.51899,17.542123
"Ceropegia mohanramii S.R.Yadav, M.N.Gavade & Sardesai",73.474541,16.060328
Ceropegia sahyadrica Ansari & B.G. Kulk. var. sahyadrica,73.756114,18.367728
Ceropegia maccannii M.Y.Ansari,73.756163,18.392293
